okres,tytul,autor,pozycja_w_rankingu,zmiana_w_rankingu,ocena,liczba_ocen,liczba_czytelnikow,liczba_recenzji
04-2026,Szczęście czy fart?,"Trias de Bes Fernando,Alex Rovira Celma",1,awans,7.4,359,1395,42
04-2026,Projekt Hail Mary,Andy Weir,2,spadek,8.1,7450,14356,1269
04-2026,Święto Karkonoszy,Sławek Gortych,3,nowosc,7.7,681,2401,147
04-2026,Cały ten błękit,Mélissa Da Costa,4,spadek,7.8,2948,8801,560
04-2026,Gołoborze,Maciej Siembieda,5,spadek,8.3,4219,9777,872
04-2026,Dom bestii,Katarzyna Bonda,6,nowosc,7.3,441,1288,129
04-2026,Traktat o łuskaniu fasoli,Wiesław Myśliwski,7,awans,8.2,9777,26702,1088
04-2026,Przymierze Wróbli,Devney Perry,8,spadek,8.3,496,2452,149
04-2026,"Schronisko, które przestało istnieć",Sławek Gortych,9,bez-zmian,7.5,14137,24739,1980
04-2026,Odległe życie,M.L. Stedman,10,nowosc,7.9,250,1503,79
04-2026,Markiz,Przemysław Piotrowski,11,spadek,7.6,1737,2972,364
04-2026,"Tam, gdzie zmrok zapada szybciej",Wojciech Chmielarz,12,nowosc,7.1,380,1163,130
04-2026,"Dziki, mroczny brzeg",Charlotte McConaghy,13,spadek,7.5,2665,6290,495
04-2026,Korespondentka,Virginia Evans,14,awans,8.0,351,1766,110
04-2026,Właśnie że tak! Nigdy w życiu! 20 lat później,Katarzyna Grochola,15,awans,7.4,480,1075,113
04-2026,Monolok,Paweł Sołtys,16,spadek,7.6,274,774,60
04-2026,Upiór,Maciej Siembieda,17,spadek,7.7,885,1857,211
04-2026,Ostatni smrek,Maria Gąsienica-Zawadzka,18,spadek,7.5,239,782,79
04-2026,Atlas chmur,David Mitchell,19,nowosc,7.4,4749,15664,578
04-2026,Wilczy Król,Lauren Palphreyman,20,nowosc,7.6,393,1309,132
04-2026,Życie przed sobą,Émile Ajar,21,nowosc,7.9,1066,3326,150
04-2026,Arachnia,Remigiusz Mróz,22,spadek,7.7,1425,2624,214
04-2026,Alfa,Grzegorz Brudnik,23,nowosc,8.1,465,997,131
04-2026,Dungeon Crawler Carl,Matt Dinniman,24,awans,7.7,619,1669,148
04-2026,Pomoc domowa,Freida McFadden,25,spadek,7.6,14813,23335,2055
04-2026,Isola,Allegra Goodman,26,nowosc,7.6,188,903,64
04-2026,Spadek po mojemu,Mieczysław Gorzka,27,nowosc,7.6,799,1522,186
04-2026,Czarne Morze,Michał Śmielak,28,nowosc,8.3,474,1338,149
04-2026,Archipelag,Marek Stelar,29,awans,7.2,500,901,139
04-2026,Smocza Iskra,Ivy Asher,30,awans,8.0,203,1189,106
04-2026,Null,Szczepan Twardoch,31,spadek,7.4,3377,6316,540
04-2026,Kiedy żurawie odlatują na południe,Lisa Ridzén,32,spadek,8.0,1296,4708,278
04-2026,Zdarzyło się w Bagiennym Lesie,Małgorzata Rogala,33,awans,7.2,398,675,89
04-2026,Chłód,Weronika Mathia,34,awans,7.2,540,1044,143
04-2026,Obsesja,B.A. Paris,35,spadek,7.1,1463,2873,338
04-2026,"Któregoś dnia okaże się, że wszyscy od zawsze byli przeciwko",Omar El Akkad,36,nowosc,8.1,138,971,27
04-2026,"Schronisko, które zostało zapomniane",Sławek Gortych,37,spadek,7.9,5362,9890,752
04-2026,Mamuna,Krystian Stolarz,38,nowosc,8.4,195,452,136
04-2026,Pentagram,Jo Nesbø,39,awans,7.6,10072,18223,671
04-2026,Sztorm,Magdalena Witkiewicz,40,spadek,7.0,1524,3121,296
04-2026,Quo vAIdis,Andrzej Dragan,41,spadek,7.7,1471,4572,206
04-2026,Goście weselni,Alison Espach,42,spadek,7.2,5110,8969,757
04-2026,Przejścia. Którędy do miłości,Natalia de Barbaro,43,nowosc,7.8,131,359,52
04-2026,Śnieg przykryje,Michał Śmielak,44,spadek,7.7,4447,6983,787
04-2026,Cesarstwo świtu,Jay Kristoff,45,awans,8.5,312,1342,66
04-2026,Płaczka,Camilla Läckberg,46,nowosc,7.3,108,1171,20
04-2026,Mroczna więź,Sable Sorensen,47,awans,7.8,345,1273,100
04-2026,Alchemised,SenLinYu,48,spadek,7.3,1892,5229,459
04-2026,Dwór cierni i róż,Sarah J. Maas,49,spadek,7.5,4543,8947,447
04-2026,Zły opiekun,Marcel Moss,50,nowosc,8.0,163,548,83
